Police_Station,Date_Time,Date,Time,Location,Loc_Id,ACT-379-380_454_457,ACT-294_506,Latitude,Longitude
Amanaka,04.09.2019 18:30,04-09-19,18:30,Street,5,0,1,21.258053,81.587688
Amanaka,06.09.2019 23:00,06-09-19,23:00,Street,5,0,1,21.253669,81.573702
Amanaka,03.09.2019 22:30,03-09-19,22:30,Street,5,0,1,21.253669,81.573702
Amanaka,03.09.2019 22:30,03-09-19,22:30,Street,5,0,1,21.253669,81.573702
Amanaka,30.10.2019 23:00,30-10-19,23:00,Street,5,0,1,21.262076,81.572333
Amanaka,26.10.2019 18:30,26-10-19,18:30,Street,5,0,1,21.287605,81.557484
Amanaka,16.10.2019 20:00,16-10-19,20:00,Street,5,0,1,21.246874,81.580918
Amanaka,13.10.2019 17:30,13-10-19,17:30,House,2,0,1,21.26499,81.590505
Amanaka,13.10.2019 17:30,13-10-19,17:30,Street,5,0,1,21.26499,81.590505
Amanaka,30.11.2019 08:30,30-11-19,8:30,Street,5,0,1,21.255896,81.587353
Amanaka,27.11.2019 23:50,27-11-19,23:50,Street,5,0,1,21.261921,81.58244
Amanaka,21.11.2019 19:20,21-11-19,19:20,Street,5,0,1,21.258053,81.587688
Amanaka,11.11.2019 21:30,11-11-19,21:30,Street,5,0,1,21.251596,81.595371
Amanaka,11.11.2019 19:40,11-11-19,19:40,Street,5,0,1,21.258644,81.566876
Amanaka,23.12.2019 07:00,23-12-19,7:00,Street,5,0,1,21.252964,81.574777
Amanaka,15.12.2019 19:30,15-12-19,19:30,Street,5,0,1,21.26499,81.590505
Amanaka,01.12.2019 21:30,01-12-19,21:30,Street,5,0,1,21.258053,81.587688
Civil_Line,05.01.2019 14:15,05-01-19,14:15,Street,5,1,0,21.244765,81.643323
Civil_Line,13.12.2019 00:15,13-12-19,0:15,Office,3,1,0,21.246206,81.643902
Civil_Line,06.01.2019 19:00,06-01-19,19:00,Street,5,1,0,21.256759,81.653194
Civil_Line,12.01.2019 09:00,12-01-19,9:00,House,2,1,0,21.250217,81.64699
Civil_Line,13.01.2019 19:00,13-01-19,19:00,House,2,1,0,21.243327,81.668901
Civil_Line,13.01.2019 16:30,13-01-19,16:30,Street,5,1,0,21.248974,81.654522
Civil_Line,15.01.2019 10:45,15-01-19,10:45,House,2,1,0,21.250787,81.657366
Civil_Line,13.01.2019 20:30,13-01-19,20:30,Street,5,1,0,21.24528,81.643263
Civil_Line,16.01.2019 10:30,16-01-19,10:30,House,2,1,0,21.258866,81.658568
Civil_Line,31.01.2019 20:00,31-01-19,20:00,Street,5,1,0,21.24927,81.645284
Civil_Line,03.02.2019 21:15,03-02-19,21:15,Street,5,1,0,21.249757,81.646588
Civil_Line,28.01.2019 23:00,28-01-19,23:00,Street,5,1,0,21.246253,81.663179
Civil_Line,13.02.2019 02:00,13-02-19,2:00,Street,5,1,0,21.24337,81.66861
Civil_Line,20.02.2019 23:00,20-02-19,23:00,Hospital ,1,1,0,21.254693,81.66236
Civil_Line,21.02.2019 13:30,21-02-19,13:30,Street,5,1,0,21.246206,81.643902
Civil_Line,03.03.2019 20:00,03-03-19,20:00,Street,5,1,0,21.24781,81.659964
Civil_Line,17.02.2019 11:00,17-02-19,11:00,Street,5,1,0,21.242366,81.64508
Civil_Line,15.03.2019 23:30,15-03-19,23:30,Street,5,1,0,21.244027,81.657139
Civil_Line,15.03.2019 23:00,15-03-19,23:00,Street,5,1,0,21.235205,81.651045
Civil_Line,14.03.2019 17:00,14-03-19,17:00,House,2,1,0,21.255997,81.661459
Civil_Line,29.03.2019 06:30,29-03-19,6:30,Street,5,1,0,21.246944,81.669409
Civil_Line,01.04.2019 20:45,01-04-19,20:45,Street,5,1,0,21.237984,81.645356
Civil_Line,07.04.2019 05:40,07-04-19,5:40,Street,5,1,0,21.243246,81.651834
Civil_Line,06.04.2019 06:45,06-04-19,6:45,Street,5,1,0,21.246912,81.649285
Civil_Line,08.04.2019 18:40,08-04-19,18:40,Street,5,1,0,21.243886,81.646029
Civil_Line,09.04.2019 15:50,09-04-19,15:50,Street,5,1,0,21.230621,81.656517
Civil_Line,14.04.2019 14:25,14-04-19,14:25,Street,5,1,0,21.237958,81.643418
Civil_Line,09.04.2019 15:30,09-04-19,15:30,Street,5,1,0,21.24528,81.643263
Civil_Line,27.03.2019 02:00,27-03-19,2:00,Office,3,1,0,21.244138,81.64868
Civil_Line,22.04.2019 09:30,22-04-19,9:30,Street,5,1,0,21.229987,81.654664
Civil_Line,23.04.2019 15:30,23-04-19,15:30,House,2,1,0,21.257581,81.655169
Civil_Line,01.05.2019 16:45,01-05-19,16:45,Street,5,1,0,21.249171,81.649906
Civil_Line,03.05.2019 22:22,03-05-19,22:22,Street,5,1,0,21.24217,81.655644
Civil_Line,16.05.2019 01:00,16-05-19,1:00,House,2,1,0,21.257622,81.662649
Civil_Line,18.05.2019 10:45,18-05-19,10:45,Street,5,1,0,21.253955,81.649075
Civil_Line,20.05.2019 13:15,20-05-19,13:15,Street,5,1,0,21.24314,81.648346
Civil_Line,28.05.2019 17:45,28-05-19,17:45,Street,5,1,0,21.24528,81.643263
Civil_Line,26.05.2019 02:30,26-05-19,2:30,Street,5,1,0,21.246695,81.668825
Civil_Line,30.05.2019 03:00,30-05-19,3:00,Street,5,1,0,21.252654,81.660919
Civil_Line,30.05.2019 20:00,30-05-19,20:00,Street,5,1,0,21.235119,81.650946
Civil_Line,02.06.2019 03:30,02-06-19,3:30,House,2,1,0,21.249485,81.653762
Civil_Line,04.06.2019 12:00,04-06-19,12:00,Street,5,1,0,21.246721,81.642209
Civil_Line,08.06.2019 20:20,08-06-19,20:20,Street,5,1,0,21.247555,81.645917
Civil_Line,09.06.2019 20:30,09-06-19,20:30,Street,5,1,0,21.235559,81.652553
Civil_Line,09.06.2019 22:30,09-06-19,22:30,Street,5,1,0,21.24649,81.659823
Civil_Line,15.06.2019 22:35,15-06-19,2:35,Street,5,1,0,21.234752,81.64469
Civil_Line,16.06.2019 11:00,16-06-19,11:00,Street,5,1,0,21.23556,81.647681
Civil_Line,16.06.2019 21:10,16-06-19,21:10,Street,5,1,0,21.235213,81.651081
Civil_Line,21.06.2019 02:30,21-06-19,2:30,House,2,1,0,21.248693,81.655324
Civil_Line,25.06.2019 01:30,25-06-19,1:30,Street,5,1,0,21.246541,81.646897
Civil_Line,25.06.2019 19:30,25-06-19,19:30,Street,5,1,0,21.234501,81.654714
Civil_Line,04.07.2019 15:00,04-07-19,15:00,Street,5,1,0,21.246674,81.642151
Civil_Line,08.07.2019 21:30,08-07-19,21:30,Street,5,1,0,21.235136,81.650983
